file,kind,original,translation,rva
sys_qui.dll,in_place,&Assignments,分配(&A),0xd49e8
sys_qui.dll,pool,&Edit,编辑(&E),0xd6068
sys_qui.dll,in_place,Recent Pro&jects,最近工程(&J),0xd6c00
sys_qui.dll,pool,Recent F&iles,最近文件(&I),0xd6c18
sys_qui.dll,pool,Create &/ Update,创建/更新(&/),0xd70a8
sys_qui.dll,pool,&File,文件(&F),0xd78f8
sys_qui.dll,pool,&About %1,关于 %1(&A),0xde0a0
sys_qui.dll,pool,Altera on the &Web,Altera 网络资源(&W),0xdebf8
sys_qui.dll,in_place,PD&F Tutorials,PDF 教程(&F),0xdf2c8
sys_qui.dll,pool,&Help,帮助(&H),0xdf69c
sys_qui.dll,pool,St&art,开始(&A),0xe4b2c
sys_qui.dll,in_place,P&rocessing,处理(&R),0xe4da0
sys_qui.dll,in_place,&Hierarchy,层次(&H),0xe5c58
sys_qui.dll,pool,&Project,工程(&P),0xe6a90
sys_qui.dll,pool,Syst&em Console,系统控制台(&E),0xed760
sys_qui.dll,pool,Netlist &Viewers,网表查看器(&V),0xee398
sys_qui.dll,pool,&Advisors,顾问(&A),0xeed40
sys_qui.dll,pool,Run Sim&ulation Tool,运行仿真工具(&U),0xef2e8
sys_qui.dll,pool,&Tools,工具(&T),0xef300
sys_qui.dll,pool,Utilit&y Windows,实用工具窗口(&Y),0xefb28
sys_qui.dll,pool,&View,视图(&V),0xefb80
sys_qui.dll,pool,&Window,窗口(&W),0xf03e8
gcl_afcq.dll,pool,Zoom &Out,缩小(&O),0xd6918
gcl_afcq.dll,pool,Zoom &In,放大(&I),0xd6928
gcl_afcq.dll,pool,&Fit in Window,适应窗口(&F),0xd6938
gcl_afcq.dll,pool,W&hat's New,新增内容(&H),0xd69f0
gcl_afcq.dll,pool,Start &VQM Writer,开始 VQM 编写器(&V),0xd6b70
gcl_afcq.dll,in_place,&Update Memory Initialization File,更新存储器初始化文件(&U),0xd6c58
gcl_afcq.dll,pool,&Undo,撤销(&U),0xd6cac
gcl_afcq.dll,in_place,Getting Started &Tutorial,入门教程(&T),0xd6cb8
gcl_afcq.dll,pool,TimeQuest Timing Analyzer &Wizard...,TimeQuest 时序分析器向导(&W)...,0xd6d50
gcl_afcq.dll,pool,Tas&ks,任务(&K),0xd6dbc
gcl_afcq.dll,pool,Ti&ps and Tricks,技巧与窍门(&P),0xd6dc8
gcl_afcq.dll,pool,&Tile,平铺(&T),0xd6e10
gcl_afcq.dll,pool,W&ord Wrap,自动换行(&O),0xd6e18
gcl_afcq.dll,pool,Show &White Space,显示空白字符(&W),0xd6e70
gcl_afcq.dll,in_place,Show &Line Numbers,显示行号(&L),0xd6e88
gcl_afcq.dll,pool,Show &Indentation Guide,显示缩进参考线(&I),0xd6ea0
gcl_afcq.dll,pool,Tcl Scr&ipts...,Tcl 脚本(&I)...,0xd6fe8
gcl_afcq.dll,pool,&Tcl Console,Tcl 控制台(&T),0xd6ff8
gcl_afcq.dll,pool,Start Test &Bench Template Writer,开始 Test Bench 模板编写器(&B),0xd7008
gcl_afcq.dll,pool,&TimeQuest Timing Analyzer,TimeQuest 时序分析器(&T),0xd7030
gcl_afcq.dll,pool,Task Window,任务窗口,0xd7050
gcl_afcq.dll,pool,SS&N Analyzer Tool,SSN 分析工具(&N),0xd71d8
gcl_afcq.dll,in_place,&Stop Processing,停止处理(&S),0xd7210
gcl_afcq.dll,pool,&Status,状态(&S),0xd7228
gcl_afcq.dll,pool,Start TimeQuest Timing Analyzer,开始 TimeQuest 时序分析,0xd7250
gcl_afcq.dll,in_place,Start S&creen,起始页(&C),0xd7270
gcl_afcq.dll,pool,Start Rapid Recompile,开始快速重编译,0xd7280
gcl_afcq.dll,pool,Start Partition Merge,开始分区合并,0xd7298
gcl_afcq.dll,pool,Start EDA &Netlist Writer,开始 EDA 网表编写器(&N),0xd72b0
gcl_afcq.dll,pool,Start Analysis && Synt&hesis,开始分析与综合(&H),0xd72d0
gcl_afcq.dll,pool,Start &Fitter,开始 Fitter(&F),0xd72f0
gcl_afcq.dll,pool,Start &Design Assistant,开始设计助理(&D),0xd7300
gcl_afcq.dll,in_place,Start &Compilation,开始编译(&C),0xd7318
gcl_afcq.dll,pool,Start &Assembler,开始汇编(&A),0xd7330
gcl_afcq.dll,pool,Start SSN Analy&zer,开始 SSN 分析器(&Z),0xd7348
gcl_afcq.dll,pool,&SignalProbe Pins...,SignalProbe 引脚(&S)...,0xd7528
gcl_afcq.dll,pool,Start &SignalProbe Compilation,开始 SignalProbe 编译(&S),0xd7540
gcl_afcq.dll,pool,Show Pin &Types,显示引脚类型(&T),0xd76c0
gcl_afcq.dll,pool,Pad &View,焊盘视图(&V),0xd7750
gcl_afcq.dll,pool,Show &Node Names,显示节点名(&N),0xd7760
gcl_afcq.dll,pool,Board Tra&ce Model,板级走线模型(&C),0xd7b18
gcl_afcq.dll,pool,Show I/O &Bank Color in Lists,在列表中显示 I/O Bank 颜色(&B),0xd7b30
gcl_afcq.dll,in_place,Set as Top-Level &Entity,设为顶层实体(&E),0xd7b80
gcl_afcq.dll,pool,&Settings...,设置(&S)...,0xd7c08
gcl_afcq.dll,in_place,&Select Highlighted Pins,选择高亮引脚(&S),0xd7c98
gcl_afcq.dll,in_place,Select &All,全选(&A),0xd7cb8
